iteration,set,subset,amount
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR6,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotBi,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notA,1
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W1,AnotBi:lost,56272
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W2,AnotBi:lost,1677
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W2,inBis:grounds,98323
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notW3,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W3,AnotBi:lost,1677
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W3,inBis:grounds,98323
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W4,AnotBi:lost,1677
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W4,inBis:grounds,98323
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W5,AnotBi:lost,1677
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W5,inBis:grounds,98323
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W6,AnotBi:lost,1677
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W6,inBis:grounds,98293
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R1,AnotBi:lost,1677
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotGrounds,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R1,inBis:grounds,97567
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR2,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR3,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR4,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR5,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR6,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotBi,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R2,AnotBi:lost,1677
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotGrounds,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R2,inBis:grounds,96194
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR2,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR3,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR4,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR5,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR6,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotBi,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R3,AnotBi:lost,1677
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotGrounds,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R3,inBis:grounds,95980
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR2,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR3,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR4,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR5,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR6,0
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotBi,0
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notA,12
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W1,AnotBi:lost,56333
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W2,AnotBi:lost,1673
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W2,inBis:grounds,98327
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notW3,12
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W3,AnotBi:lost,1673
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W3,inBis:grounds,98327
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W4,AnotBi:lost,1673
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W4,inBis:grounds,98327
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W5,AnotBi:lost,1673
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W5,inBis:grounds,98263
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W6,AnotBi:lost,1673
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W6,inBis:grounds,92033
i=10; date: Mi 31. Jan 18:02:22 CET 2024,R1,AnotBi:lost,1673
i=10; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotGrounds,0
i=10; date: Mi 31. Jan 18:02:22 CET 2024,R1,inBis:grounds,90827
i=10; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR2,0
i=10; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR3,0
i=10; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR4,0
i=10; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR5,0
i=10; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR6,0
i=10; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotBi,0
i=10; date: Mi 31. Jan 18:02:22 CET 2024,R2,AnotBi:lost,1673
